gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ABCG1,77.3716862340307,-0.3095834042083549,0.4622246933593996,-0.8525522228841528,0.393907667032401,0.4831865240563137
ABCG2,29.115224309664946,-0.08516866963839557,0.36686853924989554,-0.26977642699520044,0.7873322591680104,0.8385520413652744
ABCG4,12.1688594598546,-0.6213308087202256,0.5573609849785768,-1.508742057266465,0.13136471323096346,0.18889982297382288
ABHD1,20.05445207635427,-1.8373742673555267,0.46655886331002155,-4.368955300912192,1.2484231360110226e-05,3.37142026737147e-05
ABHD10,831.9956528748477,-0.0977808159495462,0.06922900315383115,-1.4192070971795077,0.15583864744811027,0.2192983601301009
ABHD11,5310.008777381783,-0.029118314453880502,0.06052267167844098,-0.43057199350625974,0.6667796087436854,0.7383047674694427
ABHD11-AS1,1.1142736392728,-0.29554273414389176,0.769093606204283,-1.062898376441363,0.2878280393801981,
ABHD12,1641.4505739107021,0.42377290476186635,0.0629566352350496,6.744763194005507,1.532768059032846e-11,6.432130027847564e-11
ABHD12B,841.518488273463,-1.1052925321843272,0.08926475759026024,-12.469527226401544,1.0947361539202906e-35,1.1547326283597923e-34
ABHD13,445.7889196792201,-0.2887728737076067,0.09107058817984637,-3.1889116282171845,0.0014280952802154401,0.0030073818979013483
ABHD14A,150.93443107767553,-0.06600176460615392,0.1582113595646045,-0.4280556787691918,0.6686105838546161,0.7396118328733008
ABHD14A-ACY1,664.2217237100706,-0.03493534293748806,0.0748317763717244,-0.465705355968586,0.6414264180917033,0.7163112535442112
ABHD14B,2714.6516199365196,0.0185970584544069,0.051333387729238567,0.34356067043466393,0.7311767065735176,0.7936538215037289
ABHD15,390.65237728833836,-0.6274715423977719,0.10199288782776833,-6.228200577529199,4.718227754611091e-10,1.7970813871774285e-09
ABHD16A,1.8214125155864092,-0.04908570895186806,0.7957220099454223,-0.401107563984541,0.6883409321339281,
ABHD16B,157.43789937160506,0.18984949660733355,0.18534623596773503,1.0571527906996407,0.2904418614936495,0.3752315412018562
ABHD2,4260.798046563182,0.5044892671422654,0.04697849133180098,10.744879516727618,6.2643658006234114e-27,5.131750409085066e-26
ABHD3,612.5835796958642,-0.8364976497455,0.08176048109200844,-10.297069495316931,7.264052603548135e-25,5.561420167901668e-24
ABHD4,362.48497886438497,-0.9141707483518292,0.11154804199618597,-8.292021078109258,1.1134019322382227e-16,6.067106660539469e-16
ABHD5,381.18997578639437,0.06436000044381528,0.09893884022887424,0.655596578410005,0.5120837276216722,0.5991059678466856
ABHD6,735.8782775964064,-1.7184878445516667,0.08174477585840474,-21.102341040902424,7.569424216627573e-99,2.520554921674918e-97
ABHD8,177.57447537468937,0.6663225440256213,0.16135779628450644,4.238322919393704,2.2519570387156773e-05,5.919801847272904e-05
ABI1,9393.526252632975,-0.05266435863920141,0.056147173762331117,-0.9462063360538187,0.34404335509242734,0.4319742906844022
ABI2,2866.707637951279,-0.3452850102506898,0.0433592290652951,-7.942574031310055,1.9802808930804712e-15,1.0217222358237233e-14
