gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
A1BG,1.201650693269026,0.06067584578154549,0.7039447249728212,0.22274399277876905,0.8237347600929731,
A1BG-AS1,6.768256361457734,-0.2444713978051334,0.5487965348298162,-0.6316724883536774,0.5276009088394178,0.6058598705718933
A1CF,5.196974615567317,-0.44015688079526466,0.7289790173913323,-1.1289830563018006,0.2589049813994827,0.33118947110307534
A2M,1.8887905915656455,-0.0997089278928485,0.6559876195121246,-0.29872987798418726,0.7651461580845238,
A2M-AS1,6.021167802070014,-0.8346011281163115,0.7035868244815148,-1.781828135343118,0.07477726262229636,0.11094609332206294
A4GALT,80.8629088376879,-1.026172355388592,0.21664905857501007,-4.9283473461115825,8.292809073428091e-07,2.367228156774658e-06
A4GNT,1.0733137784072002,-0.4080730069086562,0.8700769636701873,-1.1042340467989795,0.2694916241142158,
AAAS,2417.7016418648545,-0.5061804883751093,0.04600067772968949,-11.030563307539333,2.7215500142384104e-28,2.2585459633280907e-27
AACS,776.10834873574,0.42151252945474527,0.07169040796004054,5.911260975827694,3.3949864204379953e-09,1.157378429087847e-08
AACSP1,2.415524844668516,-0.3277216001082587,0.7334082973292477,-0.9443319471094589,0.3450000454135611,0.42420747183064134
AADAT,491.9182276646259,-1.1283999631535973,0.090472201600317,-12.560884193707333,3.4643945744537887e-36,3.613549701283156e-35
AAED1,206.89530110762786,-0.3681392992987138,0.1320458924401973,-2.8339055018862296,0.004598292737027697,0.008642227594198826
AAGAB,4719.258531817988,0.0817180119357011,0.04822351553152977,1.6850992026693272,0.09196943347029629,0.13351673408853576
AAK1,726.7682981404862,0.056554012314355154,0.07301103893348364,0.7796196286178636,0.43561479880424026,0.5174388621318725
AAMDC,171.136756741054,0.12391388544655814,0.13752162173424362,0.9157127858770276,0.3598175570978025,0.4396082327545074
AAMP,3207.0186252557323,0.06735715250874283,0.05268298257763329,1.2807712472970902,0.20027402606650002,0.26522686354110003
AANAT,8.57744521070681,0.6196150413023708,0.5585177371841938,1.491794412328075,0.13575304922445716,0.18886297391012014
AAR2,1953.808538468859,0.2135242619548287,0.04905007445601173,4.350212635821721,1.360055827194223e-05,3.470344437552172e-05
AARD,1.2422089273213939,0.17982863513962044,0.7198853260918464,0.6336917856497133,0.5262819867819281,
AARS,2317.6484358825855,-0.08779566069424065,0.051477116854852074,-1.721586370287603,0.08514447394414235,0.12460873407216935
AARS2,569.5014242342643,-0.050734627183736426,0.08094619680415796,-0.6294772969457602,0.5290366273430467,0.6073770915622673
AARSD1,434.86618676489576,-0.019195163339876954,0.09191442805130655,-0.21867430662109416,0.8269037649451265,0.8647150139039208
AASDH,202.66914647819726,-0.2199470884896891,0.1268916238485577,-1.7588865282544401,0.0785967838117866,0.11599675548745547
AASDHPPT,1831.6347954218254,0.22107019020540317,0.052697147839479846,4.201919371135469,2.646614048909912e-05,6.554692730919922e-05
AASS,506.77803793099093,-1.8139062420575482,0.11066920148846691,-16.491064730347283,4.253868378459656e-61,7.514852716974732e-60
AATF,2823.8890418382252,-0.05698399650033588,0.056899124687037415,-0.9939742415721332,0.3202354079748726,0.39827996473949423
AATK,50.0790553776653,-0.5639640279580519,0.3163150556566677,-1.9670022656910964,0.04918294957380842,0.07599699139562263
ABAT,752.2709160150806,-2.211675364463966,0.11023572984485554,-20.15935999462255,2.2274444661825303e-90,6.319827730521807e-89
ABCA1,16.895273957356707,-0.7829016718813147,0.4243278889983137,-2.1735448268831257,0.029739335802945258,0.04823815428263321
ABCA10,2.385107944552156,0.6792321047169662,0.9055381713281472,1.5574340977004006,0.1193674558647949,0.16879635705401036
ABCA11P,140.24279509916886,0.7027663011999813,0.15231183489855288,4.717064468811465,2.392718890351529e-06,6.567495529871579e-06
ABCA12,4.0808638643144315,0.08123022414808094,0.5864371021270001,0.21468761366258327,0.8300108802832442,0.8668820985215484
ABCA13,2.6804560705789857,0.2504068604943869,0.6613645084153441,0.6832427754105646,0.49445344727426654,0.5740911459818003
ABCA17P,1.2936441862095382,-0.39208928725968684,0.8342650083832123,-1.2754682855691841,0.20214354249331257,
ABCA2,3195.2604812414556,-0.4797411940661936,0.059596515900838594,-8.04537763816073,8.597987268221444e-16,4.329457872454309e-15
ABCA3,70.75672048907947,0.447530831685708,0.21352016717570435,2.189533369024865,0.028558095940343788,0.04649746451334412
ABCA4,12.820749493999841,-3.712091998167131,0.9172029589736276,-4.342163440828028,1.4108651195657172e-05,3.5919290000203965e-05
ABCA5,324.11699461039194,0.5985571907829134,0.13776574247581133,4.4253906295488825,9.62679214889012e-06,2.5000758791627355e-05
ABCA7,350.2645887982869,1.2220513067163024,0.13502270470016794,9.180342662367353,4.297217959941168e-20,2.608650582318214e-19
ABCA9,1.8893196102904126,-0.11857651637198378,0.6674795176567142,-0.3610444200726015,0.7180662410363473,
ABCB1,227.1250703700887,-1.944330680408845,0.1374606476723145,-14.274613365494824,3.150301197352915e-46,4.220820215342286e-45
ABCB10,451.6010961334862,0.7783832427252594,0.09077459768385597,8.641431369876232,5.5513091626867815e-18,3.1025346889917663e-17
ABCB4,342.8549690102971,-3.845508852466276,0.15947652605595392,-24.19070711731185,2.7867054717425283e-129,1.2424647337178102e-127
ABCB6,505.06258476087055,-0.7203548326152523,0.08887402735402516,-8.15605603246212,3.461419110026286e-16,1.7766980965588e-15
